Transaction_ID,Date,Day_Name,Brand,Units_Sold,Price_Per_Unit,Custome_ Name,Customer_Age,City,Payment_Method,Customer_Ratings,Mobile_Model,Total_sales
17,2021-10-14,Thursday,OnePlus,3,14699.62,Ramesh Rao,50,Coimbatore,UPI,4,OnePlus Nord,44098.86
18,2021-10-14,Thursday,Xiaomi,1,51293.14,Anand Pillai,30,Delhi,Cash,3,Redmi Note 10,51293.14
19,2021-10-14,Thursday,Xiaomi,5,57100.41,Kiran Rawat,18,Mumbai,Credit Card,4,Redmi Note 10,285502.05
20,2021-10-14,Thursday,Xiaomi,4,57717.27,Harish Kaur,30,Mumbai,Credit Card,5,Redmi Note 10,230869.08
21,2021-10-15,Friday,Xiaomi,9,18129.67,Manoj Luthra,44,Coimbatore,UPI,4,Mi 11,163167.03
22,2021-10-15,Friday,Vivo,9,36854.2,Jyoti Roy,24,Vadodara,Credit Card,5,Vivo S1,331687.8
23,2021-10-15,Friday,Vivo,5,59765.73,Rajesh Sheth,20,Kolkata,Credit Card,5,Vivo S1,298828.65
24,2021-10-16,Saturday,Xiaomi,4,28160.75,Mala Ghosh,42,Mumbai,Cash,5,Redmi Note 10,112643
25,2021-10-16,Saturday,OnePlus,7,38064.92,Reena Teja,50,Delhi,UPI,2,OnePlus Nord,266454.44
26,2021-10-16,Saturday,Samsung,6,26367.63,Bhavana Dutta,57,Delhi,UPI,5,Galaxy Note 20,158205.78
27,2021-10-17,Sunday,Samsung,4,37813.09,Yogesh Ahuja,34,Delhi,Cash,4,Galaxy A51,151252.36
28,2021-10-17,Sunday,OnePlus,2,63270.28,Isha Desai,31,Vadodara,Debit Card,4,OnePlus 9,126540.56
29,2021-10-17,Sunday,Xiaomi,1,37307.45,Tapan Shah,54,Delhi,Cash,4,Redmi 9,37307.45
30,2021-10-18,Monday,Vivo,4,43354.72,Vinod Pathak,40,Delhi,Cash,5,Vivo Y51,173418.88
31,2021-10-18,Monday,Samsung,4,34238.58,Bhavana Siddiqui,41,Ludhiana,Debit Card,2,Galaxy Note 20,136954.32
32,2021-10-18,Monday,Apple,1,37607.03,Meena Mathur,46,Mumbai,Credit Card,5,iPhone SE,37607.03
33,2021-10-18,Monday,Apple,6,10910.45,Sumit Pillai,55,Rajkot,UPI,3,iPhone SE,65462.7
34,2021-10-19,Tuesday,OnePlus,4,27024.73,Vinod Dutta,44,Mumbai,UPI,5,OnePlus 9,108098.92
35,2021-10-19,Tuesday,Xiaomi,1,36194.9,Shruti Bhatnagar,55,Kanpur,Debit Card,4,Redmi Note 10,36194.9
36,2021-10-19,Tuesday,Samsung,1,48027.82,Pankaj Shah,57,Kolkata,UPI,3,Galaxy S21,48027.82
37,2021-10-20,Wednesday,Xiaomi,1,37003.12,Deepika Verma,40,Coimbatore,Debit Card,3,Redmi 9,37003.12
38,2021-10-20,Wednesday,Samsung,8,30269.02,Sanjay Joshi,48,Ludhiana,Credit Card,5,Galaxy Note 20,242152.16
39,2021-10-20,Wednesday,OnePlus,8,33285.92,Umesh Goyal,53,Delhi,Debit Card,5,OnePlus 8T,266287.36
40,2021-10-21,Thursday,OnePlus,2,24537.6,Rajesh Verma,34,Delhi,UPI,5,OnePlus Nord,49075.2
41,2021-10-21,Thursday,Apple,7,65469.66,Pooja Rao,54,Delhi,UPI,5,iPhone 11,458287.62
42,2021-10-21,Thursday,Xiaomi,8,41304.59,Jyoti Mishra,20,Mumbai,Debit Card,2,Mi 11,330436.72
43,2021-10-22,Friday,Apple,8,10804.57,Sachin Desai,53,Ludhiana,UPI,5,iPhone SE,86436.56
44,2021-10-22,Friday,Xiaomi,7,11166.78,Manoj Jain,22,Rajkot,Debit Card,5,Mi 11,78167.46
45,2021-10-22,Friday,Apple,5,68377.7,Deepika Shah,32,Chennai,UPI,5,iPhone SE,341888.5
46,2021-10-23,Saturday,Vivo,1,23287.05,Priyanka Pillai,23,Madurai,Cash,5,Vivo V20,23287.05
47,2021-10-23,Saturday,Vivo,9,58336.5,Pooja Arora,27,Delhi,Credit Card,5,Vivo Y51,525028.5
48,2021-10-23,Saturday,Vivo,7,13496.52,Tanuja Prasad,49,Bhopal,UPI,5,Vivo S1,94475.64
49,2021-10-23,Saturday,Vivo,2,65269.76,Monika Thakur,40,Mumbai,UPI,5,Vivo Y51,130539.52
50,2021-10-24,Sunday,Samsung,6,62465.02,Anand Nair,34,Madurai,UPI,2,Galaxy Note 20,374790.12
51,2021-10-24,Sunday,Vivo,2,44265.59,Vinod Kaur,37,Ranchi,Debit Card,5,Vivo V20,88531.18
52,2021-10-24,Sunday,OnePlus,1,10539.92,Yogesh Roy,58,Delhi,UPI,5,OnePlus Nord,10539.92
53,2021-10-25,Monday,OnePlus,7,25468.65,Krishna Mehta,32,Lucknow,Debit Card,5,OnePlus 9,178280.55
54,2021-10-25,Monday,Samsung,2,34409.36,Mala Malhotra,39,Bhopal,UPI,2,Galaxy Note 20,68818.72
55,2021-10-25,Monday,Vivo,2,37603.85,Sunita Thakur,23,Mumbai,Cash,2,Vivo Y51,75207.7
56,2021-10-25,Monday,Vivo,5,27860.73,Kavita Sheth,21,Delhi,Cash,5,Vivo Y51,139303.65
57,2021-10-26,Tuesday,Vivo,5,11976.87,Anjali Roy,40,Kolkata,Credit Card,5,Vivo S1,59884.35
58,2021-10-26,Tuesday,Apple,7,45407.64,Shruti Dutta,36,Delhi,Debit Card,4,iPhone 12,317853.48
59,2021-10-26,Tuesday,Xiaomi,1,41449.28,Devendra Jain,48,Kanpur,Credit Card,5,Redmi 9,41449.28
60,2021-10-26,Tuesday,Apple,8,26980.04,Jyoti Bhattacharya,20,Kanpur,UPI,2,iPhone 11,215840.32
61,2021-10-27,Wednesday,Xiaomi,3,12278.56,Kavita Srivastava,45,Mumbai,UPI,4,Redmi Note 10,36835.68
62,2021-10-27,Wednesday,Vivo,4,69675.65,Radha Mathur,20,Madurai,Cash,5,Vivo Y51,278702.6
63,2021-10-27,Wednesday,Vivo,9,38919.17,Lata Shah,31,Gorakhpur,Credit Card,5,Vivo V20,350272.53
64,2021-10-27,Wednesday,Apple,4,55360.25,Sumit Ghosh,35,Ludhiana,UPI,4,iPhone SE,221441
65,2021-10-28,Thursday,Apple,5,37138.84,Tanuja Dutta,44,Kanpur,UPI,5,iPhone SE,185694.2
66,2021-10-28,Thursday,Xiaomi,7,12590.22,Ramesh Kumar,27,Ludhiana,Debit Card,4,Redmi 9,88131.54
67,2021-10-28,Thursday,OnePlus,4,28576.04,Sunil Luthra,32,Indore,UPI,5,OnePlus Nord,114304.16
68,2021-10-29,Friday,Xiaomi,1,29206.61,Kavita Solanki,36,Kanpur,Credit Card,5,Redmi 9,29206.61
69,2021-10-29,Friday,Apple,9,60301.17,Meena Thakur,26,Chennai,Cash,5,iPhone 12,542710.53
70,2021-10-29,Friday,Apple,4,49253.8,Pooja Reddy,21,Delhi,Cash,5,iPhone 12,197015.2
71,2021-10-29,Friday,Samsung,9,26525.79,Ayesha Ghosh,32,Ranchi,UPI,3,Galaxy Note 20,238732.11
72,2021-10-30,Saturday,Apple,6,68064.4,Yogesh Ahuja,25,Patna,UPI,4,iPhone 12,408386.4
73,2021-10-30,Saturday,Samsung,1,29292.51,Nikhil Bhattacharya,18,Delhi,UPI,5,Galaxy Note 20,29292.51
74,2021-10-30,Saturday,OnePlus,3,69894.04,Sunil Das,24,Delhi,Debit Card,4,OnePlus Nord,209682.12
75,2021-10-31,Sunday,Xiaomi,2,69769.82,Shruti Iyer,48,Mumbai,UPI,3,Redmi Note 10,139539.64
76,2021-10-31,Sunday,Xiaomi,9,21472.63,Sunita Arora,35,Mumbai,UPI,5,Redmi Note 10,193253.67
77,2021-10-31,Sunday,Samsung,1,28764.47,Deepika Deshmukh,29,Mumbai,Debit Card,3,Galaxy A51,28764.47
78,2021-10-31,Sunday,Xiaomi,9,39162.65,Kiran Malhotra,47,Chennai,Credit Card,2,Redmi 9,352463.85
79,2021-11-01,Monday,Apple,9,49846.04,Bina Mishra,50,Lucknow,Debit Card,3,iPhone SE,448614.36
80,2021-11-01,Monday,Vivo,8,41682.85,Monika Srivastava,24,Chennai,Cash,5,Vivo Y51,333462.8
81,2021-11-01,Monday,Samsung,8,68166.49,Prashant Dutta,45,Gorakhpur,Debit Card,5,Galaxy Note 20,545331.92
82,2021-11-01,Monday,Xiaomi,1,53439.35,Vinod Pathak,20,Bhopal,Debit Card,5,Redmi Note 10,53439.35
83,2021-11-02,Tuesday,Samsung,8,22722.69,Sunil Luthra,23,Delhi,Credit Card,4,Galaxy A51,181781.52
84,2021-11-02,Tuesday,Samsung,3,16305.85,Sunil Kapoor,48,Delhi,Credit Card,2,Galaxy S21,48917.55
85,2021-11-02,Tuesday,Vivo,7,51304.08,Namita Roy,55,Delhi,UPI,4,Vivo S1,359128.56
86,2021-11-02,Tuesday,Apple,1,19507.15,Sneha Mishra,32,Bangalore,Debit Card,5,iPhone SE,19507.15
87,2021-11-03,Wednesday,Samsung,1,57260.61,Sanjay Bhattacharya,24,Patna,Credit Card,5,Galaxy A51,57260.61
88,2021-11-03,Wednesday,Xiaomi,5,28662.2,Sneha Rao,47,Delhi,Cash,3,Redmi 9,143311
89,2021-11-03,Wednesday,OnePlus,5,29613.6,Namita Bhatnagar,44,Delhi,UPI,5,OnePlus Nord,148068
90,2021-11-03,Wednesday,Samsung,8,10647.9,Pooja Roy,34,Delhi,Debit Card,5,Galaxy Note 20,85183.2
91,2021-11-04,Thursday,Samsung,7,52060.68,Devendra Jain,35,Jodhpur,Cash,5,Galaxy S21,364424.76
92,2021-11-04,Thursday,Vivo,8,16796.19,Neeta Sharma,39,Bangalore,Credit Card,5,Vivo S1,134369.52
93,2021-11-04,Thursday,Apple,6,56372.83,Sumit Sheth,43,Indore,UPI,3,iPhone 11,338236.98
94,2021-11-04,Thursday,OnePlus,6,39512.07,Bina Deshmukh,44,Mumbai,Cash,4,OnePlus 8T,237072.42
95,2021-11-05,Friday,Xiaomi,2,57056.79,Ravi Arora,57,Mumbai,Debit Card,2,Redmi 9,114113.58
96,2021-11-05,Friday,OnePlus,6,45035.59,Anjali Pathak,41,Ranchi,Cash,4,OnePlus Nord,270213.54
97,2021-11-05,Friday,Xiaomi,5,14946,Rajesh Menon,25,Madurai,UPI,3,Mi 11,74730
98,2021-11-05,Friday,Apple,3,55939.14,Reena Chatterjee,38,Hyderabad,Debit Card,5,iPhone SE,167817.42
99,2021-11-06,Saturday,Xiaomi,6,14187.97,Nikhil Pathak,46,Patna,Debit Card,4,Mi 11,85127.82
100,2021-11-06,Saturday,Vivo,8,38722.1,Krishna Bhattacharya,38,Gorakhpur,Cash,2,Vivo S1,309776.8
101,2021-11-06,Saturday,Vivo,9,20340.95,Ayesha Thakur,20,Indore,UPI,3,Vivo Y51,183068.55
102,2021-11-06,Saturday,Vivo,1,55140.11,Bina Nair,48,Ludhiana,Debit Card,5,Vivo S1,55140.11
103,2021-11-07,Sunday,Vivo,3,64695.47,Krishna Malhotra,44,Vadodara,UPI,3,Vivo Y51,194086.41
104,2021-11-07,Sunday,OnePlus,3,43247.57,Mala Das,44,Gorakhpur,Credit Card,5,OnePlus 9,129742.71
105,2021-11-07,Sunday,Apple,8,41628.84,Anita Bhattacharya,26,Ranchi,Cash,2,iPhone SE,333030.72
106,2021-11-07,Sunday,Xiaomi,1,55837.79,Nikhil Solanki,50,Mumbai,UPI,3,Redmi 9,55837.79
107,2021-11-08,Monday,Xiaomi,5,10304.73,Shruti Bhatnagar,50,Indore,Credit Card,5,Mi 11,51523.65
108,2021-11-08,Monday,Vivo,3,65065.52,Kiran Goyal,43,Delhi,Credit Card,5,Vivo S1,195196.56
109,2021-11-08,Monday,Vivo,2,21846.93,Kiran Prasad,45,Rajkot,UPI,3,Vivo V20,43693.86
110,2021-11-09,Tuesday,Samsung,8,69047.13,Sunil Jain,48,Gorakhpur,UPI,5,Galaxy S21,552377.04
111,2021-11-09,Tuesday,Apple,3,54175.24,Manoj Rathod,18,Bhopal,Cash,3,iPhone 11,162525.72
112,2021-11-09,Tuesday,OnePlus,7,56455.07,Tapan Gupta,37,Gorakhpur,Cash,5,OnePlus 8T,395185.49
113,2021-11-10,Wednesday,Xiaomi,1,49372.18,Anjali Pathak,29,Delhi,Debit Card,3,Redmi 9,49372.18
114,2021-11-10,Wednesday,Samsung,6,38299.79,Isha Desai,34,Kanpur,Cash,5,Galaxy Note 20,229798.74
115,2021-11-10,Wednesday,Samsung,3,44297.66,Vinod Goyal,32,Mumbai,UPI,4,Galaxy S21,132892.98
116,2021-11-10,Wednesday,Xiaomi,8,12784.17,Krishna Rathod,51,Delhi,Debit Card,3,Redmi Note 10,102273.36
117,2021-11-11,Thursday,OnePlus,6,47437.57,Jyoti Alva,33,Delhi,Credit Card,5,OnePlus Nord,284625.42
118,2021-11-11,Thursday,Samsung,2,47565.89,Pankaj Mehta,21,Delhi,Credit Card,3,Galaxy S21,95131.78
119,2021-11-11,Thursday,Samsung,6,63472.05,Anjali Srivastava,25,Gorakhpur,UPI,5,Galaxy Note 20,380832.3
120,2021-11-11,Thursday,Apple,7,40339.38,Anita Pathak,51,Chennai,Debit Card,2,iPhone SE,282375.66
121,2021-11-12,Friday,OnePlus,5,14628.66,Arun Verma,42,Kolkata,Debit Card,3,OnePlus Nord,73143.3
122,2021-11-12,Friday,Samsung,3,28371.76,Yogesh Luthra,32,Hyderabad,Cash,5,Galaxy A51,85115.28
123,2021-11-12,Friday,OnePlus,4,49337.76,Sachin Joshi,45,Mumbai,Credit Card,5,OnePlus 8T,197351.04
124,2021-11-12,Friday,Xiaomi,4,24355.53,Sumit Arora,26,Delhi,Credit Card,2,Redmi 9,97422.12
125,2021-11-13,Saturday,Vivo,6,26831.67,Sunil Rawat,19,Delhi,Cash,3,Vivo S1,160990.02
126,2021-11-13,Saturday,Samsung,1,59228.14,Pankaj Desai,34,Rajkot,Credit Card,4,Galaxy S21,59228.14
127,2021-11-13,Saturday,Apple,4,45059.18,Kiran Solanki,27,Delhi,Cash,5,iPhone 12,180236.72
128,2021-11-14,Sunday,Xiaomi,4,40511.65,Prashant Luthra,26,Madurai,Credit Card,5,Redmi 9,162046.6
129,2021-11-14,Sunday,OnePlus,1,29107.12,Meena Mathur,48,Rajkot,Credit Card,5,OnePlus 8T,29107.12
130,2021-11-14,Sunday,Xiaomi,9,53855.68,Kavita Patel,19,Chennai,Credit Card,5,Mi 11,484701.12
131,2021-11-14,Sunday,Samsung,4,27263.11,Sanjay Pathak,41,Jodhpur,Cash,3,Galaxy Note 20,109052.44
132,2021-11-15,Monday,OnePlus,7,54223.81,Ravi Ghosh,36,Ranchi,Credit Card,5,OnePlus 8T,379566.67
133,2021-11-15,Monday,Vivo,3,14206.09,Vinod Joshi,34,Coimbatore,Credit Card,3,Vivo V20,42618.27
134,2021-11-15,Monday,Xiaomi,3,61872.48,Tanuja Goyal,27,Mumbai,Debit Card,4,Mi 11,185617.44
135,2021-11-16,Tuesday,Samsung,8,39973.99,Pankaj Desai,45,Mumbai,Credit Card,3,Galaxy Note 20,319791.92
136,2021-11-16,Tuesday,Apple,8,36310.48,Isha Desai,55,Delhi,UPI,3,iPhone SE,290483.84
137,2021-11-16,Tuesday,OnePlus,1,46661.4,Krishna Jain,45,Bangalore,Credit Card,3,OnePlus 8T,46661.4
138,2021-11-17,Wednesday,Xiaomi,2,47451.52,Tanuja Mathur,18,Delhi,Credit Card,5,Mi 11,94903.04
139,2021-11-17,Wednesday,Xiaomi,8,17922.11,Anand Kapoor,20,Mumbai,Debit Card,2,Mi 11,143376.88
140,2021-11-17,Wednesday,Vivo,1,55374.02,Neeta Kulkarni,32,Mumbai,Debit Card,5,Vivo Y51,55374.02
141,2021-11-18,Thursday,Vivo,8,26555.7,Sachin Varma,27,Lucknow,Cash,5,Vivo V20,212445.6
142,2021-11-18,Thursday,Apple,8,64297.71,Sumit Verma,38,Patna,Cash,5,iPhone SE,514381.68
143,2021-11-18,Thursday,Apple,2,59071.04,Kavita Jain,54,Kolkata,UPI,5,iPhone 12,118142.08
144,2021-11-19,Friday,Samsung,4,30775.96,Reena Bhatnagar,32,Gorakhpur,Debit Card,5,Galaxy A51,123103.84
145,2021-11-19,Friday,Samsung,6,58464.36,Anjali Ahuja,40,Mumbai,Cash,5,Galaxy A51,350786.16
146,2021-11-19,Friday,Apple,9,31383.43,Prashant Teja,31,Mumbai,Cash,5,iPhone SE,282450.87
147,2021-11-20,Saturday,Apple,8,16056.86,Rajesh Kaur,32,Indore,Cash,5,iPhone SE,128454.88
148,2021-11-20,Saturday,OnePlus,8,67713.29,Anita Prasad,27,Ludhiana,Debit Card,3,OnePlus 9,541706.32
149,2021-11-20,Saturday,Vivo,7,49156.12,Mala Teja,26,Delhi,Debit Card,5,Vivo S1,344092.84
150,2021-11-20,Saturday,Samsung,9,37365.97,Tanuja Goyal,56,Delhi,UPI,4,Galaxy Note 20,336293.73
151,2021-11-21,Sunday,Vivo,2,33866.4,Reena Rao,22,Ranchi,Debit Card,5,Vivo Y51,67732.8
152,2021-11-21,Sunday,Vivo,3,29482.32,Tanuja Shah,42,Coimbatore,Debit Card,5,Vivo S1,88446.96
153,2021-11-21,Sunday,Apple,8,68886.86,Radha Jain,59,Hyderabad,Debit Card,5,iPhone 11,551094.88
154,2021-11-21,Sunday,OnePlus,6,18084.84,Monika Ahuja,43,Delhi,UPI,5,OnePlus 8T,108509.04
155,2021-11-22,Monday,Xiaomi,9,28888.3,Kavita Goyal,25,Ludhiana,Credit Card,5,Redmi 9,259994.7
156,2021-11-22,Monday,OnePlus,4,39129.86,Priya Roy,39,Coimbatore,Credit Card,5,OnePlus Nord,156519.44
157,2021-11-22,Monday,OnePlus,8,38679.97,Pooja Dutta,42,Delhi,Cash,5,OnePlus Nord,309439.76
158,2021-11-22,Monday,Vivo,3,38281.99,Namita Das,29,Gorakhpur,Credit Card,5,Vivo V20,114845.97
159,2021-11-23,Tuesday,OnePlus,3,20547.03,Nikhil Bhatnagar,26,Kolkata,Credit Card,3,OnePlus Nord,61641.09
160,2021-11-23,Tuesday,Samsung,8,18695.95,Sanjay Sheth,27,Patna,UPI,4,Galaxy A51,149567.6
161,2021-11-23,Tuesday,Vivo,5,25286.06,Radha Rao,27,Madurai,UPI,5,Vivo V20,126430.3
162,2021-11-23,Tuesday,Samsung,3,64871.57,Lata Iyer,26,Mumbai,Credit Card,5,Galaxy Note 20,194614.71
163,2021-11-24,Wednesday,Xiaomi,1,16783.18,Ravi Arora,43,Mumbai,Credit Card,3,Redmi Note 10,16783.18
164,2021-11-24,Wednesday,Vivo,3,55445.51,Namita Desai,52,Mumbai,Credit Card,5,Vivo Y51,166336.53
165,2021-11-24,Wednesday,Xiaomi,9,55452.9,Pooja Joshi,44,Ludhiana,Cash,5,Redmi Note 10,499076.1
166,2021-11-24,Wednesday,Vivo,5,58586.22,Reena Deshmukh,48,Delhi,UPI,5,Vivo S1,292931.1
167,2021-11-25,Thursday,Apple,2,63196.93,Pooja Thakur,36,Delhi,Credit Card,5,iPhone 12,126393.86
168,2021-11-25,Thursday,OnePlus,7,25782.17,Bhavana Kapoor,55,Mumbai,Debit Card,5,OnePlus Nord,180475.19
169,2021-11-25,Thursday,Apple,2,23473.57,Namita Desai,23,Lucknow,Credit Card,5,iPhone 11,46947.14
170,2021-11-26,Friday,Xiaomi,4,37930.34,Amit Dutta,32,Vadodara,Debit Card,5,Redmi 9,151721.36
171,2021-11-26,Friday,OnePlus,7,25905.35,Sanjay Bhattacharya,46,Delhi,Cash,5,OnePlus 9,181337.45
172,2021-11-26,Friday,Vivo,4,54058.6,Shruti Chaudhary,22,Delhi,Debit Card,5,Vivo V20,216234.4
173,2021-11-26,Friday,OnePlus,7,48156.37,Sumit Reddy,31,Patna,UPI,5,OnePlus 8T,337094.59
174,2021-11-27,Saturday,Samsung,7,62499.26,Bina Goyal,19,Indore,Cash,5,Galaxy A51,437494.82
175,2021-11-27,Saturday,OnePlus,1,14964.3,Anita Prasad,40,Chennai,Cash,5,OnePlus 8T,14964.3
176,2021-11-27,Saturday,Samsung,6,64905,Reena Dutta,36,Bangalore,Credit Card,5,Galaxy A51,389430
177,2021-11-27,Saturday,OnePlus,9,27600.92,Vivek Srivastava,41,Coimbatore,Cash,3,OnePlus Nord,248408.28
178,2021-11-28,Sunday,Samsung,2,39441.66,Kavita Desai,37,Delhi,Cash,5,Galaxy Note 20,78883.32
179,2021-11-28,Sunday,Xiaomi,3,36316.69,Anjali Thakur,44,Mumbai,Debit Card,5,Mi 11,108950.07
180,2021-11-28,Sunday,Apple,5,55618.7,Vijay Sheth,41,Delhi,Credit Card,4,iPhone SE,278093.5
181,2021-11-29,Monday,Vivo,9,35220,Vivek Nair,34,Gorakhpur,UPI,5,Vivo Y51,316980
182,2021-11-29,Monday,OnePlus,4,66613.19,Sneha Jain,42,Delhi,Credit Card,4,OnePlus Nord,266452.76
183,2021-11-29,Monday,Apple,1,64152.03,Nikhil Pathak,48,Lucknow,UPI,3,iPhone 11,64152.03
184,2021-11-29,Monday,Vivo,4,62329.67,Manoj Mehta,45,Delhi,Debit Card,5,Vivo Y51,249318.68
185,2021-11-30,Tuesday,Vivo,6,14275.5,Lalita Patel,45,Kolkata,Cash,3,Vivo Y51,85653
186,2021-11-30,Tuesday,Samsung,5,61255.48,Nikhil Jain,39,Patna,Cash,5,Galaxy S21,306277.4
187,2021-11-30,Tuesday,Xiaomi,1,56898.13,Lata Chaudhary,22,Delhi,Credit Card,5,Mi 11,56898.13
188,2021-12-01,Wednesday,Xiaomi,4,16210.78,Neeta Menon,59,Jodhpur,Credit Card,3,Redmi Note 10,64843.12
189,2021-12-01,Wednesday,Apple,6,16444.86,Sachin Yadav,25,Chennai,Credit Card,3,iPhone SE,98669.16
190,2021-12-01,Wednesday,Xiaomi,4,16069.83,Sachin Goyal,55,Bangalore,Cash,3,Redmi 9,64279.32
191,2021-12-01,Wednesday,OnePlus,9,10679.96,Shruti Chaudhary,45,Jodhpur,Cash,5,OnePlus 8T,96119.64
192,2021-12-02,Thursday,Xiaomi,5,42918.06,Sneha Prasad,29,Delhi,Debit Card,5,Redmi Note 10,214590.3
193,2021-12-02,Thursday,Apple,8,68403.66,Sunil Varma,42,Chennai,UPI,5,iPhone SE,547229.28
194,2021-12-02,Thursday,Xiaomi,9,36321.08,Krishna Roy,55,Jodhpur,Credit Card,5,Redmi Note 10,326889.72
195,2021-12-03,Friday,OnePlus,5,42445.45,Vinod Kumar,32,Mumbai,Cash,5,OnePlus 9,212227.25
196,2021-12-03,Friday,Samsung,6,68078.19,Sanjay Das,58,Jodhpur,UPI,5,Galaxy A51,408469.14
197,2021-12-03,Friday,Apple,1,25310.93,Neeta Menon,51,Delhi,Credit Card,3,iPhone 12,25310.93
198,2021-12-03,Friday,Samsung,7,61508.22,Anand Bhattacharya,30,Delhi,Credit Card,4,Galaxy S21,430557.54
199,2021-12-04,Saturday,Samsung,4,42783.43,Tanuja Ahuja,25,Mumbai,UPI,5,Galaxy A51,171133.72
200,2021-12-04,Saturday,Samsung,2,44168.59,Navin Verma,30,Madurai,UPI,5,Galaxy Note 20,88337.18
201,2021-12-04,Saturday,Vivo,5,30590.43,Bhavana Varma,53,Gorakhpur,UPI,5,Vivo Y51,152952.15
202,2021-12-04,Saturday,Vivo,3,43695.06,Neeta Ghosh,23,Lucknow,Cash,5,Vivo V20,131085.18
203,2021-12-05,Sunday,Samsung,6,14388.55,Umesh Dutta,55,Hyderabad,Debit Card,5,Galaxy Note 20,86331.3
204,2021-12-05,Sunday,Apple,8,55878.61,Lalita Dutta,49,Bhopal,Credit Card,4,iPhone SE,447028.88
205,2021-12-05,Sunday,OnePlus,7,27081.27,Kiran Mathur,38,Delhi,Credit Card,5,OnePlus Nord,189568.89
206,2021-12-06,Monday,OnePlus,3,63256.5,Sumit Malhotra,24,Mumbai,UPI,5,OnePlus Nord,189769.5
207,2021-12-06,Monday,Xiaomi,8,32071.04,Sneha Jain,43,Rajkot,Cash,5,Redmi Note 10,256568.32
208,2021-12-06,Monday,Apple,2,18569.45,Sanjay Pathak,32,Delhi,UPI,4,iPhone SE,37138.9
209,2021-12-07,Tuesday,Vivo,9,51752.89,Bhavana Yadav,59,Delhi,Cash,5,Vivo V20,465776.01
210,2021-12-07,Tuesday,Samsung,4,19874.69,Sanjay Sheth,40,Ranchi,Debit Card,5,Galaxy S21,79498.76
211,2021-12-07,Tuesday,Xiaomi,1,55220.83,Navin Sharma,55,Ranchi,Credit Card,5,Redmi 9,55220.83
212,2021-12-08,Wednesday,OnePlus,8,68086.73,Priya Teja,58,Delhi,Credit Card,4,OnePlus Nord,544693.84
213,2021-12-08,Wednesday,Vivo,7,56773.17,Sunita Teja,32,Chennai,Cash,5,Vivo V20,397412.19
214,2021-12-08,Wednesday,Vivo,5,11346.95,Priya Varma,57,Bhopal,Debit Card,4,Vivo S1,56734.75
215,2021-12-09,Thursday,Samsung,5,45993.15,Ravi Sharma,33,Mumbai,Debit Card,3,Galaxy Note 20,229965.75
216,2021-12-09,Thursday,OnePlus,7,51724.64,Lalita Shah,49,Madurai,Credit Card,5,OnePlus 9,362072.48
217,2021-12-09,Thursday,Apple,5,59527.5,Radha Jain,54,Bangalore,Credit Card,5,iPhone 12,297637.5
218,2021-12-10,Friday,Vivo,8,13360.14,Lalita Ahuja,35,Delhi,UPI,5,Vivo S1,106881.12
219,2021-12-10,Friday,Samsung,6,38806.47,Aditya Deshmukh,37,Jodhpur,Cash,4,Galaxy A51,232838.82
